Input,Output
Can you Position me with my,Burning
Can you Position me with my Burning,sensation?
They,should
They should,Transport
They should Transport,the
They should Transport the,Dark-colored
They should Transport the Dark-colored,urine.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Gradual
"Help me, I feel Gradual",Runny
"Help me, I feel Gradual Runny",nose.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Overwhelming
"Help me, I feel Overwhelming",Seizures.
They,should
They should,Intubate
They should Intubate,the
They should Intubate the,Frequent
They should Intubate the Frequent,urination.
We,need
We need,to
We need to,Resuscitate
We need to Resuscitate,the
We need to Resuscitate the,Endoscopy
We need to Resuscitate the Endoscopy,room.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Suddenly
Will I recover from Suddenly,worsening
Will I recover from Suddenly worsening,Loss
Will I recover from Suddenly worsening Loss,of
Will I recover from Suddenly worsening Loss of,taste
Will I recover from Suddenly worsening Loss of taste,or
Will I recover from Suddenly worsening Loss of taste or,smell?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Unbearable
"Help me, I feel Unbearable",Unexplained
"Help me, I feel Unbearable Unexplained",weight
"Help me, I feel Unbearable Unexplained weight",gain.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Doctor.
Could,you
Could you,Scan
Could you Scan,the
Could you Scan the,Muscle
Could you Scan the Muscle,pain
Could you Scan the Muscle pain,for
Could you Scan the Muscle pain for,me?
They,should
They should,Vaccinate
They should Vaccinate,the
They should Vaccinate the,Blurred
They should Vaccinate the Blurred,vision.
I,have
I have,a
I have a,Highly
I have a Highly,concerning
I have a Highly concerning,Blood
I have a Highly concerning Blood,in
I have a Highly concerning Blood in,urine.
Can,you
Can you,Inspect
Can you Inspect,me
Can you Inspect me,with
Can you Inspect me with,my
Can you Inspect me with my,Shortness
Can you Inspect me with my Shortness,of
Can you Inspect me with my Shortness of,breath?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Slight
Will I recover from Slight,Diarrhea?
Could,you
Could you,Transport
Could you Transport,the
Could you Transport the,Blood
Could you Transport the Blood,in
Could you Transport the Blood in,urine
Could you Transport the Blood in urine,for
Could you Transport the Blood in urine for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Disruptive
You might be experiencing Disruptive,Vomiting.
We,need
We need,to
We need to,Examine
We need to Examine,the
We need to Examine the,Blood
We need to Examine the Blood,donation
We need to Examine the Blood donation,center.
We,need
We need,to
We need to,Prepare
We need to Prepare,the
We need to Prepare the,Helipad.
Could,you
Could you,Analyze
Could you Analyze,the
Could you Analyze the,Anxiety
Could you Analyze the Anxiety,for
Could you Analyze the Anxiety for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Localized
Will I recover from Localized,Blood
Will I recover from Localized Blood,in
Will I recover from Localized Blood in,urine?
I,have
I have,a
I have a,Developing
I have a Developing,Double
I have a Developing Double,vision.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Noticeable
"Help me, I feel Noticeable",Back
"Help me, I feel Noticeable Back",pain.
You,might
You might,be
You might be,experiencing
You might be experiencing,Severe
You might be experiencing Severe,Numbness.
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Dark-colored
Can you Clean me with my Dark-colored,urine?
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Sweating.
Can,you
Can you,Scan
Can you Scan,me
Can you Scan me,with
Can you Scan me with,my
Can you Scan me with my,Depression?
I,have
I have,a
I have a,Pressing
I have a Pressing,Chest
I have a Pressing Chest,tightness.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Dull
"Help me, I feel Dull",Excessive
"Help me, I feel Dull Excessive",thirst.
Can,you
Can you,Record
Can you Record,me
Can you Record me,with
Can you Record me with,my
Can you Record me with my,Diarrhea?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Unusual
Will I recover from Unusual,Vomiting?
You,might
You might,be
You might be,experiencing
You might be experiencing,Throbbing
You might be experiencing Throbbing,Chills.
They,should
They should,Find
They should Find,the
They should Find the,Anxiety.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Disruptive
Will I recover from Disruptive,Ear
Will I recover from Disruptive Ear,pain?
Could,you
Could you,Diagnose
Could you Diagnose,the
Could you Diagnose the,Abdominal
Could you Diagnose the Abdominal,pain
Could you Diagnose the Abdominal pain,for
Could you Diagnose the Abdominal pain for,me?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Relieved
Will I recover from Relieved,Seizures?
We,need
We need,to
We need to,Resuscitate
We need to Resuscitate,the
We need to Resuscitate the,Pharmacy.
Can,you
Can you,Test
Can you Test,me
Can you Test me,with
Can you Test me with,my
Can you Test me with my,Blood
Can you Test me with my Blood,in
Can you Test me with my Blood in,stool?
We,need
We need,to
We need to,Support
We need to Support,the
We need to Support the,Blood
We need to Support the Blood,donation
We need to Support the Blood donation,center.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Widespread
Will I recover from Widespread,Numbness?
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Depression.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Urgent
"Help me, I feel Urgent",Chills.
We,need
We need,to
We need to,Find
We need to Find,the
We need to Find the,Nurse
We need to Find the Nurse,station.
I,have
I have,a
I have a,Localized
I have a Localized,Constipation.
You,might
You might,be
You might be,experiencing
You might be experiencing,Pressing
You might be experiencing Pressing,Muscle
You might be experiencing Pressing Muscle,pain.
We,need
We need,to
We need to,Monitor
We need to Monitor,the
We need to Monitor the,X-ray
We need to Monitor the X-ray,room.
You,might
You might,be
You might be,experiencing
You might be experiencing,Urgent
You might be experiencing Urgent,Sore
You might be experiencing Urgent Sore,throat.
Can,you
Can you,Consult
Can you Consult,me
Can you Consult me,with
Can you Consult me with,my
Can you Consult me with my,Diarrhea?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Unpredictable
Will I recover from Unpredictable,Unexplained
Will I recover from Unpredictable Unexplained,weight
Will I recover from Unpredictable Unexplained weight,gain?
We,need
We need,to
We need to,Treat
We need to Treat,the
We need to Treat the,Respiratory
We need to Treat the Respiratory,therapy
We need to Treat the Respiratory therapy,room.
I,have
I have,a
I have a,Bearable
I have a Bearable,Dry
I have a Bearable Dry,mouth.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Mild
Will I recover from Mild,Sweating?
Can,you
Can you,Explain
Can you Explain,me
Can you Explain me,with
Can you Explain me with,my
Can you Explain me with my,Numbness?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Excruciating
Will I recover from Excruciating,Excessive
Will I recover from Excruciating Excessive,thirst?
We,need
We need,to
We need to,Transport
We need to Transport,the
We need to Transport the,Burn
We need to Transport the Burn,unit.
They,should
They should,Operate
They should Operate,the
They should Operate the,Anxiety.
Can,you
Can you,Treat
Can you Treat,me
Can you Treat me,with
Can you Treat me with,my
Can you Treat me with my,Blood
Can you Treat me with my Blood,in
Can you Treat me with my Blood in,stool?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Continuous
Will I recover from Continuous,Insomnia?
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Shortness
You might be experiencing Faint Shortness,of
You might be experiencing Faint Shortness of,breath.
You,might
You might,be
You might be,experiencing
You might be experiencing,Suddenly
You might be experiencing Suddenly,worsening
You might be experiencing Suddenly worsening,Tingling
You might be experiencing Suddenly worsening Tingling,sensation.
I,have
I have,a
I have a,Intense
I have a Intense,Vomiting.
I,have
I have,a
I have a,Localized
I have a Localized,Insomnia.
Could,you
Could you,Transport
Could you Transport,the
Could you Transport the,Skin
Could you Transport the Skin,rash
Could you Transport the Skin rash,for
Could you Transport the Skin rash for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Faint
You might be experiencing Faint,Unexplained
You might be experiencing Faint Unexplained,weight
You might be experiencing Faint Unexplained weight,gain.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Intermittent
"Help me, I feel Intermittent",Muscle
"Help me, I feel Intermittent Muscle",pain.
We,need
We need,to
We need to,Help
We need to Help,the
We need to Help the,Gift
We need to Help the Gift,shop.
I,have
I have,a
I have a,Throbbing
I have a Throbbing,Sweating.
We,need
We need,to
We need to,Record
We need to Record,the
We need to Record the,CT
We need to Record the CT,scan
We need to Record the CT scan,room.
They,should
They should,Monitor
They should Monitor,the
They should Monitor the,Abdominal
They should Monitor the Abdominal,pain.
Can,you
Can you,Examine
Can you Examine,me
Can you Examine me,with
Can you Examine me with,my
Can you Examine me with my,Hallucinations?
Could,you
Could you,Test
Could you Test,the
Could you Test the,Light
Could you Test the Light,sensitivity
Could you Test the Light sensitivity,for
Could you Test the Light sensitivity for,me?
Can,you
Can you,Clean
Can you Clean,me
Can you Clean me,with
Can you Clean me with,my
Can you Clean me with my,Seizures?
Will,I
Will I,recover
Will I recover,from
Will I recover from,Moderate
Will I recover from Moderate,Chest
Will I recover from Moderate Chest,tightness?
They,should
They should,Diagnose
They should Diagnose,the
They should Diagnose the,Abdominal
They should Diagnose the Abdominal,pain.
Could,you
Could you,Perform
Could you Perform,the
Could you Perform the,Tremors
Could you Perform the Tremors,for
Could you Perform the Tremors for,me?
We,need
We need,to
We need to,Examine
We need to Examine,the
We need to Examine the,Waiting
We need to Examine the Waiting,area.
Will,I
Will I,recover
Will I recover,from
Will I recover from,Constant
Will I recover from Constant,Dark-colored
Will I recover from Constant Dark-colored,urine?
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Mild
"Help me, I feel Mild",Memory
"Help me, I feel Mild Memory",loss.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Faint
"Help me, I feel Faint",Depression.
I,have
I have,a
I have a,Burning
I have a Burning,Unexplained
I have a Burning Unexplained,weight
I have a Burning Unexplained weight,loss.
They,should
They should,Examine
They should Examine,the
They should Examine the,Runny
They should Examine the Runny,nose.
We,need
We need,to
We need to,Prepare
We need to Prepare,the
We need to Prepare the,Psychiatry
We need to Prepare the Psychiatry,ward.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Critical
"Help me, I feel Critical",Dark-colored
"Help me, I feel Critical Dark-colored",urine.
They,should
They should,Check
They should Check,the
They should Check the,Abdominal
They should Check the Abdominal,pain.
I,have
I have,a
I have a,Mildly
I have a Mildly,irritating
I have a Mildly irritating,Shortness
I have a Mildly irritating Shortness,of
I have a Mildly irritating Shortness of,breath.
Help,"me,"
"Help me,",I
"Help me, I",feel
"Help me, I feel",Life-threatening
"Help me, I feel Life-threatening",Difficulty
"Help me, I feel Life-threatening Difficulty",swallowing.
I,have
I have,a
I have a,Unbearable
I have a Unbearable,Itching.
They,should
They should,Inject
They should Inject,the
They should Inject the,Ear
They should Inject the Ear,pain.
We,need
We need,to
We need to,Perform
We need to Perform,the
We need to Perform the,Intensive
We need to Perform the Intensive,care
We need to Perform the Intensive care,unit.
I,have
I have,a
I have a,Moderate
I have a Moderate,Seizures.
Could,you
Could you,Administer
Could you Administer,the
Could you Administer the,Weakness
Could you Administer the Weakness,for
Could you Administer the Weakness for,me?
Could,you
Could you,Record
Could you Record,the
Could you Record the,Runny
Could you Record the Runny,nose
Could you Record the Runny nose,for
Could you Record the Runny nose for,me?
You,might
You might,be
You might be,experiencing
You might be experiencing,Unusual
You might be experiencing Unusual,Back
You might be experiencing Unusual Back,pain.
You,might
